"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "XML", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/ui/field-no-snippers.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/ui/field.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 4, 6, 95
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 0, 8, 94
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 912, 0, 292, 1204
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Admin_Panel.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Bank card.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Box.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Calendar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Cart.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Cross.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Down_Arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Email.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/House.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Left_Arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Manager_Panel.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Password.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Phone.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Repeat_Password.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Right_Arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Ruble.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Ruble_x_percent.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Title.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Trash.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/Unit.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/public/icons/User.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/store/cart.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 11, 49
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/store/product.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/tailwind.config.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/khudobin_v/Documents/bestMarketPlaceEver/Frontend/app/types.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 26, 27, 144, 1829, 76, 11, 8, 912, 45, 464, 3542
